id,question,singletips,fourtips,answer
1,認知發展論中某個概念強調環境的重要性；而不強調先天的因素。請問這是哪一個概念呢?,一句提示：兒童會不斷的進步，是因為同時受到父母及環境影響，其發展是循序漸進的。,四個選項：基模、同化、調適、發展連續論,發展連續論
2,媽媽告訴小華：「只要有兩隻腳、有一對羽毛翅膀、尖尖的喙，都是鳥類唷！」有一天媽媽帶著小華去動物園玩，小華看到鴕鳥後，開心地指著鴕鳥大喊：「媽咪你看那是鳥！」。請問小華的表現是因為他在腦中對於鳥類的定義已建立了什麼呢?,一句提示：皮亞傑所提出的概念，學習是因為這個概念發生了同化或調適,四個選項：基模、同化、調適、發展連續論,基模
3,媽媽告訴小華：「只要有兩隻腳、一對有羽毛的翅膀、尖尖的喙，都是鳥類唷！」有一天媽媽帶著小華去動物園玩，小華看到鴕鳥後，開心地指著鴕鳥大喊：「媽咪你看那是鳥！」。請問小華之所以能正確辨識出答案是因為歷經何種認知歷程？,一句提示：皮亞傑所提出的概念，小華之所以能夠快速判斷出來是因為腦中曾有相類似的基模,四個選項：基模、同化、調適、發展連續論,同化
4,佑佑與媽嗎一同去郊遊，有一隻蝴蝶飛了過來，佑佑和媽媽說那是蜜蜂，媽媽和佑佑糾正過後，佑佑就再也不會認錯。請問媽媽糾正的過程會讓佑佑之歷經何種認知歷程？,一句提示：皮亞傑所提出的概念，媽媽讓佑佑體認到現在看到的蜜蜂跟他腦中的蝴蝶是不同的。,四個選項：基模、同化、調適、發展連續論,調適
5,小寶看到桌上有一顆綠色的西瓜，但當媽媽把切好的西瓜端上桌，小寶則認為西瓜不見了。請問小寶可能正處於兒童認知發展的哪一個階段?,一句提示：這時候的小孩是藉由感覺及動作技能來探索世界，上述的情境主要敘述的是物體恆存的概念，是這個時期重要的里程碑之一,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,感覺動作期
6,小寶看到桌上有一顆綠色的圓西瓜，但當媽媽把切好的西瓜端上桌，小寶認為桌上的西瓜這並不是剛剛所看看到的綠色圓西瓜。請問小寶可能正處於兒童認知發展的哪一個階段? ,一句提示：這個時期小孩比上一個時期更具有思考能力，且能在心裡運用符號來表徵物體，但大部分的思考仍然十分原始。,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,前運思期
7,大智與小智差一歲。媽媽買了一瓶果汁，並把它平均倒入兩杯容量一樣但外型不一樣的杯子，媽媽把瘦長型的杯子給大智，小智則是拿到矮胖型的杯子，此時小智抗議說，為什麼大智拿到的比較多，但此時大智卻說我們拿到的份量是一樣的。請問大智可能正處於認知發展中的哪一個階段呢? ,一句提示：看東西時，能把脈絡中其他意義的事物考慮進去，在熟悉的事物之中，能形成概念、瞭解關係、解決問題。,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,具體運思期
8,當我們學習成語時，除了可以解釋成語的意涵，更可以舉出例子。請問這表示我們至少已經成長到認知發展的哪一個階段?,一句提示：當學生處於這個階段的時候，擁有抽象思考的能力。,四個選項：感覺動作期、前運思期、具體運思期、形式運思期,形式運思期
9,大智和小智相差一歲。媽媽媽買了一瓶果汁，並把它平均倒入兩杯容量一樣但外型不一樣的杯子，媽媽把瘦長型的杯子給大智，小智則是拿到矮胖型的杯子，此時小智抗議說，為什麼大智拿到的比較多，但此時大智卻說我們拿到的份量是一樣的。請問皮亞傑學者會以何種概念來解釋小智的行為表現?,一句提示：兒童只會注意情境的某一方面，上述小智只注意高度變化，而忽略寬度的變化。,四個選項：專注現象、遞移能力、守恆概念、可/不可逆性,專注現象
10,小天很喜歡車子，每天都要按照車子大小，從小到大排列成一直線，根據上列描述，皮亞傑學者會以何種概念來解釋小天的表現? ,一句提示：行為的特點是能依照特定標準去比較 ,四個選項：專注現象、遞移能力、序列化、可/不可逆性,序列化
11,有一天早上，媽媽買了兩塊一樣大小的土司，並將其切塊給小孩當早餐，裘莉看到姊姊桌上放著切成四等分的土司，卻看見自己的土司只有三等份，於是跟姊姊哭鬧起來想多要一塊，請問下列何者概念能說明裘莉為何有如此反應？,一句提示：提示：即使狀態改變，依舊可以了解物質的總量不變。,四個選項：專注現象、遞移能力、守恆概念、可/不可逆性,守恆概念
12,"老師教了 10+3=13，之後問小明 13-3=?時，他卻無法回答。請問這種情況是因為小明正處於皮亞傑認知發展何階段，所產生認知上的侷限呢?
",一句提示：一個人思考時能改變方向而回到原點的能力。,四個選項：專注現象、遞移能力、守恆概念、可/不可逆性,可逆性
13,上英文會話課時，老師把班上分成若干小組，並安排每一組都有幾位英文口說能力較好的同學，才開始指派課程任務，雖然任務有點難度，但是老師都會依據各組情況適時提供協助，基本上大家都可以完成。請問老師在設計「課程任務」時應該要考慮到以下哪種概念?,一句提示：課程任務的設計時不宜過難,四個選項：鷹架構築、鷹架撤除、近側發展區、發展連續論,Zone of Proximal Development
14,小明在上數學課時學到了加法的定義，課本裡面有一題應用題寫到：「父母親以及爺爺奶奶都分別給了小明30元的零用錢，小明現在有多少錢呢?」老師覺得小明應該有能力慢慢解出這一題，於是慢慢引導他逐步應用加法的公式來進行解題。請問小明的老師在上述的「慢慢引導」是應用維高斯基學習理論中的何種概念？,一句提示：更有能力的同儕或成人給予的協助。,四個選項：鷹架構築、鷹架撤除、近側發展區、發展連續論,鷹架構築
15,晨晨喜歡玩ㄅㄨㄅㄨ車。一開始媽媽總會跟著晨晨並處處提醒她哪裡應該要注意安全，久而久之，晨晨【開始會自己判斷路況，而媽媽的提醒也越來越少】。請問【】的部分媽媽運用到了哪種概念？,一句提示：給予協助後，適學生的狀況逐漸減少所給予的支持。,四個選項：鷹架構築、鷹架撤除、近側發展區、發展連續論,鷹架撤除
16,卡索總是不敢和其他同學互動，也時常露出不安的表情。經老師探訪後得知，原來是卡索在小時候曾經被父母遺棄過。請問，卡索的表現是因為艾瑞克森的個人與社會發展階段論的哪個階段發展不順利？,一句提示：這個階段的學習者如果發展順利會產生安全感，如果發展不順利則會對環境感到焦慮,四個選項：信任與懷疑、自我認同與角色混淆、主動探索與焦慮感、勤奮努力與自卑,信任與懷疑
17,在人生道路上，我們難免會遭受到挫折，有成功就必定有失敗，這個概念符合艾瑞克森的個人與社會發展階段論的哪一時期?,一句提示：這個階段的學習者如果發展順利可以清楚掌握人生未來的目標與方向，如果發展不順利則會迷失自我,四個選項：信任與懷疑、自我認同與角色混淆、主動探索與焦慮感、勤奮努力與自卑,自我認同與角色混淆
18,阿明到北極旅遊，沒有帶足夠的保暖衣物，這時的阿明會比較關心馬斯洛的哪一個需求層次？,一句提示：這個需求指的是人要活下去所需的基本需求,四個選項：生理需求、安全需求、愛與隸屬需求、尊重需求,生理需求
19,嘟嘟非常努力工作，希望可以獲得主管與他人的肯定，請問這是屬於什麼需求?,一句提示：這個需求是希望可以獲得他人的肯定與認同,四個選項：生理需求、安全需求、愛與隸屬需求、尊重需求,尊重需求
20,柔柔夢想成為全台首席的指揮家。請問柔柔的表現屬於馬斯洛所提出的何種概念？,一句提示：這個需求是一個人生活的最終目標,四個選項：生理需求、安全需求、愛與隸屬需求、尊重需求,自我實現需求
21,有一位研究員，在小狗的嘴邊掛上一個試管收集小狗的唾液。研究員每隔一段時間就釋放肉的氣味，並測量小狗所流出來的唾液量，請問研究員最可能是在測試行為主義中的哪種概念？, 一句提示：小狗聞到肉香流口水，是一種本能的反應。,四個選項：古典制約、操作制約、正增強、負增強,古典制約
22,吳老師上課時，請同學輪流上台玩答題遊戲，在遊戲過程中，需在限定時間內完成作答，答對一題得一分，【且如果答對，遊戲畫面便會顯示圈圈的圖樣】，如果答錯則是顯示叉叉圖樣，根據最後得分最高者獲勝。請問在上述描述中，【】的部分是使用哪一個概念?,一句提示：顯示圈圈圖樣是給學習者的一種刺激，希望學習者能繼續保持這種行為表現。,四個選項：正增強、負增強、呈現型懲罰、撤離型懲罰,正增強
23,小熊家的家事採分工合作制，而小熊被分配到每天倒垃圾，但是只要小熊考試一百分，可以少倒一天垃圾。請問此情況符合哪一種行為取向理論?,一句提示：透過削去學習者不喜歡的事物以期望學生能持續保持優良行為,四個選項：正增強、負增強、呈現型懲罰、撤離型懲罰,負增強
24,小明在玩耍中不小心打破了家中的古董，受到媽媽嚴厲的責罵。請問媽媽應用何種概念?,一句提示：透過給予學習者不喜歡的事物，藉此希望學習者,四個選項：正增強、負增強、呈現型懲罰、撤離型懲罰,呈現型懲罰
25,林書豪因前幾場比賽數據不佳，並且失誤過多，所以接下來的比賽失去了先發的位置，只能坐板凳。上述教練應用何種概念來對待林書豪?,一句提示：透過剝奪學習者喜歡的事物，藉此期望學習者不要再發生不好的行為。,四個選項：正增強、負增強、呈現型懲罰、撤離型懲罰,撤離型懲罰
26,外宿的勤勤最近買太多奢侈品，導致他沒有錢吃午餐。此時他剛好看到小小麥正在舉辦海報設計比賽，第一名的參賽者可以得到【一整年的培根蛋吐司吃到飽】。請問【】中的敘述是屬於原級還是次級增強物、內在還是外在增強物？(兩個答案),兩句提示：A.勤勤贏得一整年的培根蛋吐司吃到飽後，就可以滿足他的生理需求；B.種增強物通常是有形的，利用滿足學習者物質的需求，藉此希望學習者保持良好行為,無,"原級增強物
外在增強物"
27,媽媽說如果媛媛考一百分，就給媛媛最新的自拍神器。請問自拍神器屬於原級還是次級增強物、內在還是外在增強物？(兩個答案),兩句提示：A.這種增強物是滿足學習者基本需求以外的需求，藉此希望學習者可以保持良好的行為。B.種增強物通常是有形的，利用滿足學習者物質的需求，藉此希望學習者保持良好行為,無,"次級增強物
外在增強物"
28,芳芳從小閱讀推理小說，每次只要能推理情境中找到答案就會覺得自己真是太厲害了，更讓芳芳覺得自己應該是推理天才。請問可以用行為主義中的兩哪種增強物概念來解釋芳芳的自信?(兩個答案),兩句提示：A.這種增強物通常是無形的，讓學習者內心感到滿足，藉此希望學習者保持良好的行為；B.這種增強物是滿足學習者基本需求以外的需求，藉此希望學習者可以保持良好的行為。,無,"內在增強物
次級增強物"
29,小花從小就喜歡繪畫，每個人只要看到小花的畫就會讚美她畫得很棒，小花經由不斷努力磨練自己的繪畫技巧，最後在全國繪畫比賽中得了【第一名的獎盃】，獲得了眾人的掌聲與讚揚，讓小花覺得努力是有成果的。請問【】部分是屬於行為主義中的哪種增強物。,兩句提示：A.這種增強物通常是有形的，利用滿足學習者物質的需求，藉此希望學習者保持良好行為。B.這種增強物是滿足學習者基本需求以外的需求，藉此希望學習者可以保持良好的行為。,無,"外在增強物
次級增強物"
30,阿梅的班上在推廣讀詩的活動，每週只要背誦三首詩，就可以向老師領取一張精美貼紙，這個活動持續了整個學期。請問這種獎勵方式採用了行為主義中哪一種增強機制？,一句提示：學習者只要在特定時間區段內完成指定的任務內容即可得到獎勵。,四個選項：固定比率、不固定比率、固定時距、不固定時距,固定時距
31,阿梅的班上在推廣讀詩的活動，有時候阿梅背了一首詩老師就請他吃糖果，有的時候阿梅背了五首詩老師才請他吃糖果。請問老師使用的是何種增強機制呢？,一句提示：行為的特點是能依照特定標準去比較 ,四個選項：固定比率、不固定比率、固定時距、不固定時距,不固定比率
32,老師每天都會在moodle平台放了14道題目讓同學進行練習，並在每一天的晚上十一點給予同學練習的回饋與成績。請問老師這樣的回饋機制設計可以用哪一種增強機制解釋？,一句提示：只要學習者有表顯出優良的行為，教學者固定一段時間就會給學習者獎勵。,四個選項：固定比率、不固定比率、固定時距、不固定時距,固定時距
33,以前媽媽每個禮拜都會檢視小美是否有乖乖寫作業，如果有乖乖寫作業媽媽就帶小美去吃大餐。現在媽媽每兩個禮拜或三個禮拜才檢視小美是否有乖乖寫作業，並視小美的表現決定是否帶小美去吃大餐。請問媽媽這樣的獎勵機制可以用哪一種增強頻率解釋？,一句提示：只要學習者有表顯出優良的行為，教學者就會給學習者獎勵，但給予獎勵的時間不固定。,四個選項：固定比率、不固定比率、固定時距、不固定時距,不定時距
34,小新總討厭吃青菜，因此他決定在吃牛排的時候，先把沙拉吃完在吃牛肉。請問上述小新是運用行為主義的何種概念?,一句提示：小新先把自己不喜歡的菜吃完，再吃喜歡的菜，也就是將喜歡的事物當成增強物去獎勵自己完成不喜歡的事情。,四個選項：普力馬原則、呈現型懲罰、撤離型懲罰、負增強,普力馬原則
35,某位科學家於印度進行某項實驗，他資助一些山上的窮女孩們讀書並拍成紀錄片，最後將成功考上美國大學的案例放映給其他相同處境的孩子們看，遂促成一股印度女學生就學潮。請問這位科學家採用哪種概念來進行教學?,一句提示：學習者在學習時，見賢思齊之。,四個選項：楷模學習、替代學習、普力馬原則、操作制約,楷模學習
36,電視新聞在正報導有關詐騙的相關新聞，看到那些因為利用善心進行不當行為，受到大眾譴責及判刑，小嘟嘟便知道詐騙是不好的行為。請問可以用什麼概念來解釋小嘟嘟的成長? ,一句提示：學習者在學習時，見不賢內自省。,四個選項：楷模學習、替代學習、普力馬原則、操作制約,替代學習
37,媽媽在教姊姊做家常菜時，【都會先示範一次步驟給姐姐看，再要求姊姊依樣畫葫蘆做出相同一道家常菜，姊姊經由不斷的練習，最後終於做出和媽媽相同的家常菜】。請問【】的地方是指姊姊處於模仿的哪一個階段?,一句提示：模仿的過程中，需要不斷練習模仿的行為。,四個選項：注意、保留、再生、動機,再生
38,小明看見媽媽拿椅子墊高擦玻璃窗很方便，於是小明學會拿椅子墊高，在沒有媽媽的提醒下，自己主動說要拿取書櫃上的故事書下來閱讀，請問小明因為想要拿書而拿椅子墊高這樣的行為顯示他正處於模仿的哪一階段  ,一句提示：模仿過程中如果學習者已經願意在適當時機的運用模仿的行為,四個選項：注意、保留、再生、動機,動機
39,小可愛在做報告的時候，總是喜歡與同學討論報告的內容。請問小可愛最可能是哪種學習風格的學習者？,一句提示：這種類型的學習者仰賴外在的提點，在情緒的互動表現上較直接,四個選項：場地依賴型、場地獨立型 ,場地依賴型
40,隋棠非常喜歡解數學問題，她最常一個人待在麥當勞思考複雜的數學問題，有時候一天下來可以解出好幾十個數學難題。請問隋棠最可能是哪種風格的學習者?,一句提示：這種類型的學習者善於獨自邏輯思考，且比較不會被外在環境影響。,四個選項：場地依賴型、場地獨立型 ,場地獨立型
41,國民義務教育中劃分了許多學習領域，像是語文領域、藝術與人文領域、體育領域，請問這些學習領域的劃分是根據何種智力理論呢？,一句提示：有些學者認為，智力可以分成許多不同的領域，每個人在不同的領域的智力表現不同。,四個選項：場地依賴型、場地獨立型、數位原生代、多元智力,多元智力
42,茶湯會每次消費一杯飲料就可以累積一點，累積十點就可以兌換一杯25元的飲料。請問茶湯會的做法是運用了何種增強機制？,一句提示：學習者每次表現出優良行為就可以獲得點數，累積一定的點數可獲取更多得增強物,四個選項：原級增強物、次級增強物、代幣增強物、內在增強物,代幣增強物
43,姆斯在上統計課的時候總是聽不懂老師講的內容，某天姆斯在書局看到一本書「看漫畫學統計」，姆斯看了這本書之後突然就搞懂老師上課所講的艱深的統計概念了。請問姆斯最可能是哪種類型的學習者?,一句提示：這種類型的學習者從小就接觸3C產品，並且偏好圖像內容勝過文字內容。,四個選項：場地依賴型、場地獨立型、數位原生代、多元智力,數位原生代
44,証証是教育是一名教育心理學高手，每次在考試的時候總能取得高分，【他總覺得自己能在教育心理學考高分】。請問可以使用那一個教育心理學概念來解釋【】中的敘述？,一句提示：學習者對學習表現的自信,四個選項：楷模學習、替代學習、摘要策略、自我效能,自我效能
45,高老師在上課，透過投影片投影了今天要教的20個概念，但是10秒後即關掉。高老師問如果以訊息處理理論(IP Model)來解釋這10秒，學生的訊息處理正處於哪一個階段？,一句提示：人收到外部刺激後，最先產生的記憶。,四個選項：語意記憶、感官記憶、程序性記憶、工作記憶,感官記憶
46,小翠看到蟑螂嚇了一跳，回神後，發現自己把剛剛背的論語都忘了。請問小翠的訊息處理處於何種階段，才導致受到干擾就遺忘了呢？,一句提示：容量有限，只能保留有限的訊息，一但我們停止思考就容易導致訊息遺失。,四個選項：長期記憶、短期記憶、工作記憶、感官記憶,短期記憶
